City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
550,galle,6.0367,80.217,25.24,88,49,1.89,LK,2024-11-09 21:58:05
551,znamenskoye,57.1281,73.8282,-2.82,95,100,5.84,RU,2024-11-09 21:58:06
552,tayu,-6.5397,111.0518,27.19,79,100,2.42,ID,2024-11-09 21:58:07
553,tiznit,29.5833,-9.5,24.42,20,56,1.73,MA,2024-11-09 21:58:08
554,kahna nau,31.3692,74.3653,20.02,88,0,0.0,PK,2024-11-09 21:58:09
555,imbituba,-28.24,-48.6703,17.96,66,14,3.81,BR,2024-11-09 21:55:25
556,aioun,16.6614,-9.6149,27.27,13,0,5.22,MR,2024-11-09 21:58:12
557,stephenville,32.2207,-98.2023,23.07,29,0,1.54,US,2024-11-09 21:58:13
558,codajas,-3.8367,-62.0569,30.78,50,92,1.41,BR,2024-11-09 21:58:14
559,albert lea,43.648,-93.3683,8.32,100,100,4.63,US,2024-11-09 21:58:15
560,kourou,5.1552,-52.6478,26.88,85,3,3.85,GF,2024-11-09 21:58:17
561,santa catalina,9.3337,122.8637,25.73,84,87,2.13,PH,2024-11-09 21:58:18
562,rantauprapat,2.1,99.8333,22.85,100,100,0.36,ID,2024-11-09 21:58:19
563,mata-utu,-13.2816,-176.1745,27.41,77,72,5.83,WF,2024-11-09 21:58:20
564,kuusamo,65.9667,29.1833,-1.98,80,0,3.09,FI,2024-11-09 21:58:21
565,hutchinson,38.0608,-97.9298,15.02,56,20,9.26,US,2024-11-09 21:58:18
566,kidal,18.4411,1.4078,22.51,19,0,4.99,ML,2024-11-09 21:58:24
567,changli,39.7042,119.1506,12.99,73,100,2.01,CN,2024-11-09 21:58:25
568,carthage,36.8611,10.3316,18.74,94,40,0.0,TN,2024-11-09 21:58:26
569,glenvale,-27.5648,151.9076,23.87,67,87,2.1,AU,2024-11-09 21:58:27
570,sulakyurt,40.1573,33.716,4.39,65,100,1.62,TR,2024-11-09 21:58:28
571,cabo san lucas,22.8909,-109.9124,25.15,51,0,2.97,MX,2024-11-09 21:57:04
572,padangsidempuan,1.3667,99.2667,21.73,97,100,0.51,ID,2024-11-09 21:58:31
573,saint albans,51.75,-0.3333,7.39,84,100,2.06,GB,2024-11-09 21:54:28
574,lorengau,-2.0226,147.2712,27.99,77,10,0.08,PG,2024-11-09 21:58:34
575,paradip garh,20.3167,86.6167,22.46,80,0,3.73,IN,2024-11-09 21:58:35
576,i-n-salah,27.1935,2.4607,22.88,23,32,2.94,DZ,2024-11-09 21:58:37
